name,title,level,facing,categories,description,detail,remediation,metadata,cache_key
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.effective_plan_from_row\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""effective_plan_from_row"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_effective_plan_from_row_290dd5fec7063b5721834d08c9fe5ddf
anon_security_definer_function_executable,Public Can Execute SECURITY DEFINER Function,WARN,EXTERNAL,"[""SECURITY""]","Detects `SECURITY DEFINER` functions that are callable without signing in. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if it is not meant to be public.","Function `public.activate_pro_plan(p_user_id uuid, p_order_code bigint, p_duration_days integer, p_payos_data jsonb, p_plan text)` can be executed by the `anon` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/activate_pro_plan`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.",https://supabase.com/docs/guides/database/database-linter?lint=0028_anon_security_definer_function_executable,"{""name"":""activate_pro_plan"",""schema"":""public"",""language"":""plpgsql"",""arguments"":""p_user_id uuid, p_order_code bigint, p_duration_days integer, p_payos_data jsonb, p_plan text"",""security_definer"":true}","anon_security_definer_function_executable_public_activate_pro_plan_p_user_id uuid, p_order_code bigint, p_duration_days integer, p_payos_data jsonb, p_plan text"
anon_security_definer_function_executable,Public Can Execute SECURITY DEFINER Function,WARN,EXTERNAL,"[""SECURITY""]","Detects `SECURITY DEFINER` functions that are callable without signing in. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if it is not meant to be public.","Function `public.save_candidate_analysis(p_candidate_id uuid, p_analysis_result jsonb, p_match_score integer, p_status text)` can be executed by the `anon` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/save_candidate_analysis`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.",https://supabase.com/docs/guides/database/database-linter?lint=0028_anon_security_definer_function_executable,"{""name"":""save_candidate_analysis"",""schema"":""public"",""language"":""plpgsql"",""arguments"":""p_candidate_id uuid, p_analysis_result jsonb, p_match_score integer, p_status text"",""security_definer"":true}","anon_security_definer_function_executable_public_save_candidate_analysis_p_candidate_id uuid, p_analysis_result jsonb, p_match_score integer, p_status text"
anon_security_definer_function_executable,Public Can Execute SECURITY DEFINER Function,WARN,EXTERNAL,"[""SECURITY""]","Detects `SECURITY DEFINER` functions that are callable without signing in. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if it is not meant to be public.",Function `public.sync_campaign_counters(p_campaign_id uuid)` can be executed by the `anon` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/sync_campaign_counters`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.,https://supabase.com/docs/guides/database/database-linter?lint=0028_anon_security_definer_function_executable,"{""name"":""sync_campaign_counters"",""schema"":""public"",""language"":""plpgsql"",""arguments"":""p_campaign_id uuid"",""security_definer"":true}",anon_security_definer_function_executable_public_sync_campaign_counters_p_campaign_id uuid
anon_security_definer_function_executable,Public Can Execute SECURITY DEFINER Function,WARN,EXTERNAL,"[""SECURITY""]","Detects `SECURITY DEFINER` functions that are callable without signing in. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if it is not meant to be public.","Function `public.update_candidate_hr_status(p_candidate_id uuid, p_hr_status text, p_hr_note text)` can be executed by the `anon` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/update_candidate_hr_status`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.",https://supabase.com/docs/guides/database/database-linter?lint=0028_anon_security_definer_function_executable,"{""name"":""update_candidate_hr_status"",""schema"":""public"",""language"":""plpgsql"",""arguments"":""p_candidate_id uuid, p_hr_status text, p_hr_note text"",""security_definer"":true}","anon_security_definer_function_executable_public_update_candidate_hr_status_p_candidate_id uuid, p_hr_status text, p_hr_note text"
authenticated_security_definer_function_executable,Signed-In Users Can Execute SECURITY DEFINER Function,WARN,EXTERNAL,"[""SECURITY""]","Detects `SECURITY DEFINER` functions that are callable by signed-in users. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if signed-in users should not call it.","Function `public.activate_pro_plan(p_user_id uuid, p_order_code bigint, p_duration_days integer, p_payos_data jsonb, p_plan text)` can be executed by the `authenticated` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/activate_pro_plan`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.",https://supabase.com/docs/guides/database/database-linter?lint=0029_authenticated_security_definer_function_executable,"{""name"":""activate_pro_plan"",""schema"":""public"",""language"":""plpgsql"",""arguments"":""p_user_id uuid, p_order_code bigint, p_duration_days integer, p_payos_data jsonb, p_plan text"",""security_definer"":true}","authenticated_security_definer_function_executable_public_activate_pro_plan_p_user_id uuid, p_order_code bigint, p_duration_days integer, p_payos_data jsonb, p_plan text"
authenticated_security_definer_function_executable,Signed-In Users Can Execute SECURITY DEFINER Function,WARN,EXTERNAL,"[""SECURITY""]","Detects `SECURITY DEFINER` functions that are callable by signed-in users. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if signed-in users should not call it.","Function `public.admin_set_user_plan(p_user_id uuid, p_plan text, p_duration_days integer)` can be executed by the `authenticated` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/admin_set_user_plan`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.",https://supabase.com/docs/guides/database/database-linter?lint=0029_authenticated_security_definer_function_executable,"{""name"":""admin_set_user_plan"",""schema"":""public"",""language"":""plpgsql"",""arguments"":""p_user_id uuid, p_plan text, p_duration_days integer"",""security_definer"":true}","authenticated_security_definer_function_executable_public_admin_set_user_plan_p_user_id uuid, p_plan text, p_duration_days integer"
authenticated_security_definer_function_executable,Signed-In Users Can Execute SECURITY DEFINER Function,WARN,EXTERNAL,"[""SECURITY""]","Detects `SECURITY DEFINER` functions that are callable by signed-in users. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if signed-in users should not call it.","Function `public.check_analytics_quota(p_user_id uuid, p_additional integer)` can be executed by the `authenticated` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/check_analytics_quota`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.",https://supabase.com/docs/guides/database/database-linter?lint=0029_authenticated_security_definer_function_executable,"{""name"":""check_analytics_quota"",""schema"":""public"",""language"":""plpgsql"",""arguments"":""p_user_id uuid, p_additional integer"",""security_definer"":true}","authenticated_security_definer_function_executable_public_check_analytics_quota_p_user_id uuid, p_additional integer"
authenticated_security_definer_function_executable,Signed-In Users Can Execute SECURITY DEFINER Function,WARN,EXTERNAL,"[""SECURITY""]","Detects `SECURITY DEFINER` functions that are callable by signed-in users. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if signed-in users should not call it.","Function `public.effective_monthly_analytics_limit(p_custom boolean, p_limit integer)` can be executed by the `authenticated` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/effective_monthly_analytics_limit`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.",https://supabase.com/docs/guides/database/database-linter?lint=0029_authenticated_security_definer_function_executable,"{""name"":""effective_monthly_analytics_limit"",""schema"":""public"",""language"":""sql"",""arguments"":""p_custom boolean, p_limit integer"",""security_definer"":true}","authenticated_security_definer_function_executable_public_effective_monthly_analytics_limit_p_custom boolean, p_limit integer"
authenticated_security_definer_function_executable,Signed-In Users Can Execute SECURITY DEFINER Function,WARN,EXTERNAL,"[""SECURITY""]","Detects `SECURITY DEFINER` functions that are callable by signed-in users. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if signed-in users should not call it.",Function `public.get_default_monthly_analytics_limit()` can be executed by the `authenticated` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/get_default_monthly_analytics_limit`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.,https://supabase.com/docs/guides/database/database-linter?lint=0029_authenticated_security_definer_function_executable,"{""name"":""get_default_monthly_analytics_limit"",""schema"":""public"",""language"":""sql"",""arguments"":"""",""security_definer"":true}",authenticated_security_definer_function_executable_public_get_default_monthly_analytics_limit_
authenticated_security_definer_function_executable,Signed-In Users Can Execute SECURITY DEFINER Function,WARN,EXTERNAL,"[""SECURITY""]","Detects `SECURITY DEFINER` functions that are callable by signed-in users. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if signed-in users should not call it.",Function `public.get_user_plan(p_user_id uuid)` can be executed by the `authenticated` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/get_user_plan`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.,https://supabase.com/docs/guides/database/database-linter?lint=0029_authenticated_security_definer_function_executable,"{""name"":""get_user_plan"",""schema"":""public"",""language"":""sql"",""arguments"":""p_user_id uuid"",""security_definer"":true}",authenticated_security_definer_function_executable_public_get_user_plan_p_user_id uuid
authenticated_security_definer_function_executable,Signed-In Users Can Execute SECURITY DEFINER Function,WARN,EXTERNAL,"[""SECURITY""]","Detects `SECURITY DEFINER` functions that are callable by signed-in users. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if signed-in users should not call it.",Function `public.increment_usage_count(user_id uuid)` can be executed by the `authenticated` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/increment_usage_count`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.,https://supabase.com/docs/guides/database/database-linter?lint=0029_authenticated_security_definer_function_executable,"{""name"":""increment_usage_count"",""schema"":""public"",""language"":""plpgsql"",""arguments"":""user_id uuid"",""security_definer"":true}",authenticated_security_definer_function_executable_public_increment_usage_count_user_id uuid
authenticated_security_definer_function_executable,Signed-In Users Can Execute SECURITY DEFINER Function,WARN,EXTERNAL,"[""SECURITY""]","Detects `SECURITY DEFINER` functions that are callable by signed-in users. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if signed-in users should not call it.",Function `public.is_admin()` can be executed by the `authenticated` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/is_admin`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.,https://supabase.com/docs/guides/database/database-linter?lint=0029_authenticated_security_definer_function_executable,"{""name"":""is_admin"",""schema"":""public"",""language"":""sql"",""arguments"":"""",""security_definer"":true}",authenticated_security_definer_function_executable_public_is_admin_
authenticated_security_definer_function_executable,Signed-In Users Can Execute SECURITY DEFINER Function,WARN,EXTERNAL,"[""SECURITY""]","Detects `SECURITY DEFINER` functions that are callable by signed-in users. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if signed-in users should not call it.","Function `public.resolve_monthly_analytics_limit(p_effective_plan text, p_custom boolean, p_stored_limit integer)` can be executed by the `authenticated` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/resolve_monthly_analytics_limit`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.",https://supabase.com/docs/guides/database/database-linter?lint=0029_authenticated_security_definer_function_executable,"{""name"":""resolve_monthly_analytics_limit"",""schema"":""public"",""language"":""sql"",""arguments"":""p_effective_plan text, p_custom boolean, p_stored_limit integer"",""security_definer"":true}","authenticated_security_definer_function_executable_public_resolve_monthly_analytics_limit_p_effective_plan text, p_custom boolean, p_stored_limit integer"
authenticated_security_definer_function_executable,Signed-In Users Can Execute SECURITY DEFINER Function,WARN,EXTERNAL,"[""SECURITY""]","Detects `SECURITY DEFINER` functions that are callable by signed-in users. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if signed-in users should not call it.","Function `public.save_candidate_analysis(p_candidate_id uuid, p_analysis_result jsonb, p_match_score integer, p_status text)` can be executed by the `authenticated` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/save_candidate_analysis`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.",https://supabase.com/docs/guides/database/database-linter?lint=0029_authenticated_security_definer_function_executable,"{""name"":""save_candidate_analysis"",""schema"":""public"",""language"":""plpgsql"",""arguments"":""p_candidate_id uuid, p_analysis_result jsonb, p_match_score integer, p_status text"",""security_definer"":true}","authenticated_security_definer_function_executable_public_save_candidate_analysis_p_candidate_id uuid, p_analysis_result jsonb, p_match_score integer, p_status text"
authenticated_security_definer_function_executable,Signed-In Users Can Execute SECURITY DEFINER Function,WARN,EXTERNAL,"[""SECURITY""]","Detects `SECURITY DEFINER` functions that are callable by signed-in users. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if signed-in users should not call it.",Function `public.sync_campaign_counters(p_campaign_id uuid)` can be executed by the `authenticated` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/sync_campaign_counters`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.,https://supabase.com/docs/guides/database/database-linter?lint=0029_authenticated_security_definer_function_executable,"{""name"":""sync_campaign_counters"",""schema"":""public"",""language"":""plpgsql"",""arguments"":""p_campaign_id uuid"",""security_definer"":true}",authenticated_security_definer_function_executable_public_sync_campaign_counters_p_campaign_id uuid
authenticated_security_definer_function_executable,Signed-In Users Can Execute SECURITY DEFINER Function,WARN,EXTERNAL,"[""SECURITY""]","Detects `SECURITY DEFINER` functions that are callable by signed-in users. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if signed-in users should not call it.",Function `public.sync_profile_usage_month(p_user_id uuid)` can be executed by the `authenticated` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/sync_profile_usage_month`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.,https://supabase.com/docs/guides/database/database-linter?lint=0029_authenticated_security_definer_function_executable,"{""name"":""sync_profile_usage_month"",""schema"":""public"",""language"":""plpgsql"",""arguments"":""p_user_id uuid"",""security_definer"":true}",authenticated_security_definer_function_executable_public_sync_profile_usage_month_p_user_id uuid
authenticated_security_definer_function_executable,Signed-In Users Can Execute SECURITY DEFINER Function,WARN,EXTERNAL,"[""SECURITY""]","Detects `SECURITY DEFINER` functions that are callable by signed-in users. Revoke `EXECUTE`, switch the function to `SECURITY INVOKER`, or move it out of your exposed API schema if signed-in users should not call it.","Function `public.update_candidate_hr_status(p_candidate_id uuid, p_hr_status text, p_hr_note text)` can be executed by the `authenticated` role as a `SECURITY DEFINER` function via `/rest/v1/rpc/update_candidate_hr_status`. Revoke `EXECUTE` or switch it to `SECURITY INVOKER` if that is not intentional.",https://supabase.com/docs/guides/database/database-linter?lint=0029_authenticated_security_definer_function_executable,"{""name"":""update_candidate_hr_status"",""schema"":""public"",""language"":""plpgsql"",""arguments"":""p_candidate_id uuid, p_hr_status text, p_hr_note text"",""security_definer"":true}","authenticated_security_definer_function_executable_public_update_candidate_hr_status_p_candidate_id uuid, p_hr_status text, p_hr_note text"
auth_leaked_password_protection,Leaked Password Protection Disabled,WARN,EXTERNAL,"[""SECURITY""]",Leaked password protection is currently disabled.,Supabase Auth prevents the use of compromised passwords by checking against HaveIBeenPwned.org. Enable this feature to enhance security.,https://supabase.com/docs/guides/auth/password-security#password-strength-and-leaked-password-protection,"{""type"":""auth"",""entity"":""Auth""}",auth_leaked_password_protection